Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Original collector category,Original collector status,Review category,Status,Hydrants pill,Reviewed resolution,Resolution confidence,Approximate vicinity anchor,Anchor key,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Secondary evidence,Fallback address when grey
1,BLACKWOOD MAIN-1,BLACKWOOD MAIN,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD,HAWTHORNDENE,ACACIA ROAD|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ACACIA ROAD, HAWTHORNDENE SA","6 ACACIA ROAD, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01778267216052,138.62171926254342,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
380,CORO EAST & CHERRY-19,CORO EAST & CHERRY,MARSHALL ROAD,CHERRY GARDENS,MARSHALL ROAD,CHERRY GARDENS,MARSHALL ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"MARSHALL ROAD, CHERRY GARDENS SA","55 MARSHALL ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.074653609985674,138.63201214751626,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
398,CORO STREETS-66,CORO STREETS,MEWS WAY,COROMANDEL VALLEY,MEWS WAY,COROMANDEL VALLEY,MEWS WAY|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"MEWS WAY, COROMANDEL VALLEY SA","3 MEWS WAY, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.05419591852314,138.62167407930082,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
407,BLACKWOOD MAIN-281,BLACKWOOD MAIN,MITCHELL CRESCENT,PASADENA,MITCHELL CRESCENT,PASADENA,MITCHELL CRESCENT|PASADENA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"MITCHELL CRESCENT, PASADENA SA","3 MITCHELL CRESCENT, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed street-only,100,-35.01108932621897,138.59155215475235,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
409,BLACKWOOD MAIN-282,BLACKWOOD MAIN,MONALTA DRIVE,BELAIR,MONALTA DRIVE,BELAIR,MONALTA DRIVE|BELAIR,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"MONALTA DRIVE, BELAIR SA","3 MONALTA DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.00308602201574,138.62606877224704,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
414,BLACKWOOD MAIN-287,BLACKWOOD MAIN,MOUNTBATTEN ROAD,BELLEVUE HEIGHTS,MOUNTBATTEN ROAD,BELLEVUE HEIGHTS,MOUNTBATTEN ROAD|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"MOUNTBATTEN ROAD, BELLEVUE HEIGHTS SA","34 MOUNTBATTEN ROAD, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.032007210786205,138.59428520726908,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
417,BLACKWOOD MAIN-290,BLACKWOOD MAIN,MURRAY STREET,BLACKWOOD,MURRAY STREET,BLACKWOOD,MURRAY STREET|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"MURRAY STREET, BLACKWOOD SA","5 MURRAY STREET, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.02307409237411,138.61867455238485,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
419,BLACKWOOD MAIN-291,BLACKWOOD MAIN,MURRAYS HILL ROAD,COROMANDEL VALLEY,MURRAYS HILL ROAD,COROMANDEL VALLEY,MURRAYS HILL ROAD|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"MURRAYS HILL ROAD, COROMANDEL VALLEY SA","60 MURRAYS HILL ROAD, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.05303431783751,138.61142424292916,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
429,BLACKWOOD PARK-40,BLACKWOOD PARK,NEWLAND COURT,CRAIGBURN FARM,NEWLAND COURT,CRAIGBURN FARM,NEWLAND COURT|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"NEWLAND COURT, CRAIGBURN FARM SA","3 NEWLAND COURT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03502968509703,138.6155480143066,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
430,BLACKWOOD MAIN-299,BLACKWOOD MAIN,NICOLE AVENUE,HAWTHORNDENE,NICOLE AVENUE,HAWTHORNDENE,NICOLE AVENUE|HAWTHORNDENE,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 NICOLE AVENUE, HAWTHORNDENE SA","1 NICOLLE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed No. 1,98.66,-35.01718123695101,138.63478949384168,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for NICOLLE AVENUE, HAWTHORNDENE.",,
438,BLACKWOOD MAIN-305,BLACKWOOD MAIN,OAK CRESCENT,HAWTHORNDENE,OAK CRESCENT,HAWTHORNDENE,OAK CRESCENT|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"OAK CRESCENT, HAWTHORNDENE SA","3 OAK CRESCENT, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.02209642662095,138.62898558180945,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
439,CORO STREETS-74,CORO STREETS,OAKDENE CRESCENT,COROMANDEL VALLEY,OAKDENE CRESCENT,COROMANDEL VALLEY,OAKDENE CRESCENT|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"OAKDENE CRESCENT, COROMANDEL VALLEY SA","5 OAKDENE CRESCENT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.040817231545255,138.62687157529365,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
441,BLACKWOOD MAIN-307,BLACKWOOD MAIN,OFFLER AVENUE,BELLEVUE HEIGHTS,OFFLER AVENUE,BELLEVUE HEIGHTS,OFFLER AVENUE|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"OFFLER AVENUE, BELLEVUE HEIGHTS SA","LOT 7 OFFLER AVENUE, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.03019561179962,138.5838395175506,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
445,CORO EAST & CHERRY-21,CORO EAST & CHERRY,ORCHARD ROAD,CHERRY GARDENS,ORCHARD ROAD,CHERRY GARDENS,ORCHARD ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ORCHARD ROAD, CHERRY GARDENS SA","5 ORCHARD ROAD, CHERRY GARDENS, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.07145200368553,138.63803735070516,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
458,BLACKWOOD MAIN-320,BLACKWOOD MAIN,PEKINA STREET,EDEN HILLS,PEKINA STREET,EDEN HILLS,PEKINA STREET|EDEN HILLS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"PEKINA STREET, EDEN HILLS SA","53 PEKINA STREET, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.01859703784794,138.59621492307886,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
461,BLACKWOOD MAIN-323,BLACKWOOD MAIN,PENNO PARADE NORTH,BELAIR,PENNO PARADE NORTH,BELAIR,PENNO PARADE NORTH|BELAIR,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 PENNO PARADE NORTH, BELAIR SA","1 PENNO PARADE NORTH, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed No. 1,100,-35.00107892545586,138.62301819182466,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for PENNO PARADE, BELAIR.",,
462,BLACKWOOD MAIN-324,BLACKWOOD MAIN,PENNO PARADE SOUTH,BLACKWOOD,PENNO PARADE SOUTH,BLACKWOOD,PENNO PARADE SOUTH|BLACKWOOD,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 PENNO PARADE SOUTH, BLACKWOOD SA","1 PENNO PARADE SOUTH, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed No. 1,100,-35.011639885808876,138.62238722740935,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for PENNO PARADE, BLACKWOOD.",,
465,BLACKWOOD MAIN-327,BLACKWOOD MAIN,PETHERICK STREET,GLENALTA,PETHERICK STREET,GLENALTA,PETHERICK STREET|GLENALTA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"PETHERICK STREET, GLENALTA SA","3 PETHERICK STREET, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed street-only,100,-35.015072211265114,138.6340541098854,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
473,BLACKWOOD MAIN-335,BLACKWOOD MAIN,PLAYFORD AVENUE,BLACKWOOD,PLAYFORD AVENUE,BLACKWOOD,PLAYFORD AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"PLAYFORD AVENUE, BLACKWOOD SA","3 PLAYFORD AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.01566172806024,138.61296634344126,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
476,CORO STREETS-77,CORO STREETS,PLYMOUTH AVENUE,COROMANDEL VALLEY,PLYMOUTH AVENUE,COROMANDEL VALLEY,PLYMOUTH AVENUE|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"PLYMOUTH AVENUE, COROMANDEL VALLEY SA","4 PLYMOUTH AVENUE, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03106761280436,138.6222210811551,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
481,BLACKWOOD MAIN-342,BLACKWOOD MAIN,PRITCHARD GROVE,PASADENA,PRITCHARD GROVE,PASADENA,PRITCHARD GROVE|PASADENA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"PRITCHARD GROVE, PASADENA SA","3 PRITCHARD GROVE, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed street-only,100,-35.008813976392055,138.59262997076374,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
486,BLACKWOOD MAIN-345,BLACKWOOD MAIN,QUEENS JUBILEE DRIVE,BELAIR NATIONAL PARK,QUEENS JUBILEE DRIVE,BELAIR NATIONAL PARK,QUEENS JUBILEE DRIVE|BELAIR NATIONAL PARK,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"QUEENS JUBILEE DRIVE, BELAIR NATIONAL PARK SA","LOT 599 QUEENS JUBILEE DRIVE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,55,-35.0076162646897,138.6497405220847,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for QUEENS JUBILEE DRIVE, BELAIR.",,
487,BLACKWOOD MAIN-346,BLACKWOOD MAIN,RAILWAY LANE,EDEN HILLS,RAILWAY LANE,EDEN HILLS,RAILWAY LANE|EDEN HILLS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"RAILWAY LANE, EDEN HILLS SA","49 RAILWAY LANE, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.02081279560294,138.59462159117362,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
498,BLACKWOOD MAIN-356,BLACKWOOD MAIN,RENFREW DRIVE,HAWTHORNDENE,RENFREW DRIVE,HAWTHORNDENE,RENFREW DRIVE|HAWTHORNDENE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"RENFREW DRIVE, HAWTHORNDENE SA","3 RENFREW DRIVE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.02887017738789,138.63258814491599,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
503,BLACKWOOD PARK-42,BLACKWOOD PARK,RIDING WAY,CRAIGBURN FARM,RIDING WAY,CRAIGBURN FARM,RIDING WAY|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"RIDING WAY, CRAIGBURN FARM SA","3 RIDING WAY, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.04065944596974,138.61065434893723,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
505,CORO STREETS-82,CORO STREETS,RIVER GLEN PLACE,COROMANDEL VALLEY,RIVER GLEN PLACE,COROMANDEL VALLEY,RIVER GLEN PLACE|COROMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 RIVER GLEN PLACE, COROMANDEL VALLEY SA","1 RIVER GLEN PLACE, FLAGSTAFF HILL, SOUTH AUSTRALIA, 5159",Reviewed No. 1,55,-35.05010612352112,138.6111915670185,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for RIVER GLEN PLACE, FLAGSTAFF HILL.",,
507,BLACKWOOD PARK-43,BLACKWOOD PARK,ROGERSON CIRCUIT,CRAIGBURN FARM,ROGERSON CIRCUIT,CRAIGBURN FARM,ROGERSON CIRCUIT|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"ROGERSON CIRCUIT, CRAIGBURN FARM SA","13 ROGERSON CIRCUIT, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03487421204965,138.6057807847742,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
518,BLACKWOOD MAIN-368,BLACKWOOD MAIN,SADDLE HILL ROAD,BELAIR NATIONAL PARK,SADDLE HILL ROAD,BELAIR NATIONAL PARK,SADDLE HILL ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"SADDLE HILL ROAD, BELAIR NATIONAL PARK SA","LOT 2 SADDLE HILL ROAD, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,55,-35.01497508508222,138.67796226002918,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for SADDLE HILL ROAD, BELAIR.",,
519,BLACKWOOD MAIN-373,BLACKWOOD MAIN,SANDFORD AVENUE,BLACKWOOD,SANDFORD AVENUE,BLACKWOOD,SANDFORD AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"SANDFORD AVENUE, BLACKWOOD SA","4 SANDFORD AVENUE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.02462704397987,138.6194316385285,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
523,CORO EAST & CHERRY-22,CORO EAST & CHERRY,SCENIC ROAD,DORSET VALE,SCENIC ROAD,DORSET VALE,SCENIC ROAD|DORSET VALE,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"SCENIC ROAD, DORSET VALE SA","LOT 99 SCENIC ROAD EAST, DORSET VALE, SOUTH AUSTRALIA, 5157",Reviewed street-only,100,-35.10198342360552,138.69826732463306,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
535,CORO STREETS-89,CORO STREETS,SHANNON CRESCENT,COROMANDEL VALLEY,SHANNON CRESCENT,COROMANDEL VALLEY,SHANNON CRESCENT|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"SHANNON CRESCENT, COROMANDEL VALLEY SA","3 SHANNON CRESCENT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.05453959578573,138.61798648631253,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
539,CORO STREETS-90,CORO STREETS,SHEPHERDS COURT,COROMANDEL VALLEY,SHEPHERDS COURT,COROMANDEL VALLEY,SHEPHERDS COURT|COROMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 SHEPHERDS COURT, COROMANDEL VALLEY SA","1 SHEPHERD COURT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed No. 1,89.24,-35.044074338521355,138.62231785156442,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for SHEPHERD COURT, COROMANDEL VALLEY.",,
542,BLACKWOOD MAIN-387,BLACKWOOD MAIN,SHERWOOD AVENUE,BELLEVUE HEIGHTS,SHERWOOD AVENUE,BELLEVUE HEIGHTS,SHERWOOD AVENUE|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"SHERWOOD AVENUE, BELLEVUE HEIGHTS SA","4 SHERWOOD AVENUE, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.02143041850961,138.57786768039628,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
547,BLACKWOOD MAIN-391,BLACKWOOD MAIN,SIMLA PARADE,BLACKWOOD,SIMLA PARADE,BLACKWOOD,SIMLA PARADE|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"SIMLA PARADE, BLACKWOOD SA","26 SIMLA PARADE, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.02732736532871,138.61647480444017,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
548,BLACKWOOD MAIN-392,BLACKWOOD MAIN,SIR EDWIN AVENUE,BELAIR NATIONAL PARK,SIR EDWIN AVENUE,BELAIR NATIONAL PARK,SIR EDWIN AVENUE|BELAIR NATIONAL PARK,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"SIR EDWIN AVENUE, BELAIR NATIONAL PARK SA","LOT 675 SIR EDWIN AVENUE, BELAIR, SOUTH AUSTRALIA, 5052",Reviewed street-only,55,-34.9980080659404,138.63597244094115,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for SIR EDWIN AVENUE, BELAIR.",,
550,CORO EAST & CHERRY-25,CORO EAST & CHERRY,SLACK ROAD,CHANDLERS HILL,SLACK ROAD,CHANDLERS HILL,SLACK ROAD|CHANDLERS HILL,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"SLACK ROAD, CHANDLERS HILL SA","31 SLACK ROAD, CHANDLERS HILL, SOUTH AUSTRALIA, 5159",Reviewed street-only,100,-35.086883682013,138.62250303170435,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
559,BLACKWOOD MAIN-399,BLACKWOOD MAIN,SPRINGWOOD COURT,EDEN HILLS,SPRINGWOOD COURT,EDEN HILLS,SPRINGWOOD COURT|EDEN HILLS,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 SPRINGWOOD COURT, EDEN HILLS SA","1 SPRINGWOOD CLOSE, EDEN HILLS, SOUTH AUSTRALIA, 5050",Reviewed No. 1,89.24,-35.01550803388072,138.5815712831949,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for SPRINGWOOD CLOSE, EDEN HILLS.",,
567,BLACKWOOD MAIN-401,BLACKWOOD MAIN,STATION ROAD,BLACKWOOD,STATION ROAD,BLACKWOOD,STATION ROAD|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"STATION ROAD, BLACKWOOD SA","4 STATION ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.02117266056266,138.618233215279,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
569,BLACKWOOD MAIN-402,BLACKWOOD MAIN,STIRLING ROAD,BLACKWOOD,STIRLING ROAD,BLACKWOOD,STIRLING ROAD|BLACKWOOD,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"1 STIRLING ROAD, BLACKWOOD SA","1 STIRLING ROAD, BLACKWOOD, SOUTH AUSTRALIA, 5051",Reviewed No. 1,100,-35.014300894178916,138.62052831053876,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
572,BLACKWOOD MAIN-404,BLACKWOOD MAIN,STURTBRAE CRESCENT,BELLEVUE HEIGHTS,STURTBRAE CRESCENT,BELLEVUE HEIGHTS,STURTBRAE CRESCENT|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"STURTBRAE CRESCENT, BELLEVUE HEIGHTS SA","3 STURTBRAE CRESCENT, BELLEVUE HEIGHTS, SOUTH AUSTRALIA, 5050",Reviewed street-only,100,-35.019243478413266,138.57868222397047,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
574,BLACKWOOD PARK-47,BLACKWOOD PARK,SUN DEW AVENUE,CRAIGBURN FARM,SUN DEW AVENUE,CRAIGBURN FARM,SUN DEW AVENUE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"SUN DEW AVENUE, CRAIGBURN FARM SA","3 SUN DEW AVENUE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.03312131570109,138.6165194540224,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
575,BLACKWOOD MAIN-406,BLACKWOOD MAIN,SUNVALLEY DRIVE,GLENALTA,SUNVALLEY DRIVE,GLENALTA,SUNVALLEY DRIVE|GLENALTA,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"2 SUNVALLEY DRIVE, GLENALTA SA","2 SUN VALLEY DRIVE, GLENALTA, SOUTH AUSTRALIA, 5052",Reviewed No. 2,99.02,-35.00638599970626,138.62928549892368,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for SUN VALLEY DRIVE, GLENALTA.",,
581,BLACKWOOD MAIN-410,BLACKWOOD MAIN,TACOMA BOULEVARD,PASADENA,TACOMA BOULEVARD,PASADENA,TACOMA BOULEVARD|PASADENA,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"TACOMA BOULEVARD, PASADENA SA","3 TACOMA BOULEVARD, PASADENA, SOUTH AUSTRALIA, 5042",Reviewed street-only,100,-35.01111583134947,138.58695538242193,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
587,BLACKWOOD PARK-50,BLACKWOOD PARK,THE FARM LANE,CRAIGBURN FARM,THE FARM LANE,CRAIGBURN FARM,THE FARM LANE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"2 THE FARM LANE, CRAIGBURN FARM SA","2 THE FARM LANE, CRAIGBURN FARM, SOUTH AUSTRALIA, 5051",Reviewed No. 2,100,-35.04101646474096,138.61711003813824,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
588,BLACKWOOD MAIN-415,BLACKWOOD MAIN,THE KNOLL CRESCENT,COROMANDEL VALLEY,THE KNOLL CRESCENT,COROMANDEL VALLEY,THE KNOLL CRESCENT|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"THE KNOLL CRESCENT, COROMANDEL VALLEY SA","14 THE KNOLL CRESCENT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.030931707303004,138.6270220675111,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
589,CORO STREETS-96,CORO STREETS,THE KNOLL CRESCENT,COROMANDEL VALLEY,THE KNOLL CRESCENT,COROMANDEL VALLEY,THE KNOLL CRESCENT|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Official candidate salvage,Reviewed resolution,Active,Yes,High,No,,"THE KNOLL CRESCENT, COROMANDEL VALLEY SA","14 THE KNOLL CRESCENT, COROMANDEL VALLEY, SOUTH AUSTRALIA, 5051",Reviewed street-only,100,-35.030931707303004,138.6270220675111,No,Lowest valid numbered address returned by the official SAGAF_PLUS street-only search; exact street and locality were already validated by the collector.,,
595,CORO STREETS-98,CORO STREETS,THOMAS COURT,COROMANDEL VALLEY,THOMAS COURT,COROMANDEL VALLEY,THOMAS COURT|COROMANDEL VALLEY,No,Failed,Failed,Secondary-assisted official correction,Reviewed resolution,Active,Yes,High,No,,"1 THOMAS COURT, COROMANDEL VALLEY SA","1 THOMAS COURT, CHANDLERS HILL, SOUTH AUSTRALIA, 5159",Reviewed No. 1,55,-35.05992422867301,138.61878235177466,No,"Reviewed spelling, street type or adjoining official locality; selected the lowest numbered matching official SAGAF_PLUS candidate for THOMAS COURT, CHANDLERS HILL.",,
